product_id,category,price,brand,name,description
1,Electronics,150,"Frye, Montgomery and Cannon",Smartphone,.. :. category : electronics.
2,Electronics,33,Nelson-Escobar,Laptop,.. : laptop category : electronics.
3,Electronics,349,Smith PLC,Headphones,.. : headphones category : electronics.
4,Electronics,323,King Ltd,Camera,.. : camera category : electronics.
5,Electronics,385,Murillo-Porter,Gaming Console,.. : gaming console category : electronics.
6,Electronics,412,Alexander and Sons,Tablet,.. : tablet category : electronics.
7,Electronics,109,"Wilkinson, Kelley and Anderson",TV,.. : tv category : electronics.
8,Electronics,454,Martin-Mathis,Charger,.. : charger category : electronics.
9,Electronics,359,"Smith, Hughes and Doyle",Power Bank,.. :. bank category : electronics.
10,Electronics,499,Long-Ward,Wireless Earbuds,.. :. earbus category : electronics.
11,Electronics,18,Mitchell-Sampson,Smartwatch,.. :.watch category : electronics.
12,Electronics,76,"Price, Page and Miranda",Bluetooth Speaker,.. : stooth speaker category : electronics.
13,Electronics,455,Harris-Anderson,Mouse,.. : mouse category : electronics.
14,Electronics,348,Williams-Brown,Keyboard,.. : keyboard category : electronics.
15,Electronics,441,West Ltd,Monitor,.. : monitor category : electronics.
16,Books,437,"Floyd, Skinner and Cook",Mystery Novel,.. : mystery novel category : books.
17,Books,252,Matthews-Wilkerson,Science Fiction Book,.. : science fiction book category : books.
18,Books,175,"Nelson, Pham and Smith",Cookbook,.. : cook. category : books.
19,Books,42,Cross LLC,Self-help Book,.. : self - help book category : books.
20,Books,394,George Group,Fantasy Novel,.. : fantasy novel category : books.
21,Books,227,Robinson-Gutierrez,Biography,.. : biography category : books.
22,Books,494,Thomas-Thompson,Thriller,.. : thriller category : books.
23,Books,392,Miller LLC,Romance Novel,.. :. novel category : books.
24,Books,58,Barr and Sons,Historical Fiction,.. : historical fiction category : books.
25,Books,368,"Cohen, Cole and Roth",Poetry Book,.. : poetry book category : books.
26,Books,25,Murray Inc,Non-fiction Book,.. : non - fiction book category : books.
27,Books,187,Stewart Inc,Classic Literature,.. : classic literature category : books.
28,Books,259,Gillespie-Lee,Comic Book,.. : comic book category : books.
29,Books,369,Howe-Reeves,Graphic Novel,.. : graphic novel category : books.
30,Books,117,Scott-Reid,Children's Book,.. : children. s book category : books.
31,Groceries,252,Hudson-Hardy,Fresh Apples,.. : fresh apples category : groceries.
32,Groceries,109,Lopez-West,Whole Wheat Bread,.. : whole wheat bread category : groceries.
33,Groceries,233,"Patrick, Freeman and Fernandez",Organic Milk,.. : organic milk category : groceries.
34,Groceries,81,Cooper-Fuller,Organic Eggs,.. : organic eggs category : groceries.
35,Groceries,337,"Villarreal, Mcgee and Carlson",Fresh Vegetables,.. : fresh vegetables category : groceries.
36,Groceries,301,"Edwards, Frank and Bell",Lean Chicken Breast,. product : lean chicken breast category : groceries.
37,Groceries,40,"Hughes, Sanchez and Chang",Greek Yogurt,.. : greek.gurt category : groceries.
38,Groceries,127,"Randolph, Evans and Baxter",Cereal,.. : cereal category : groceries.
39,Groceries,29,Mendez PLC,Granola Bars,.. : granola bars category : groceries.
40,Groceries,226,"Dennis, Vaughn and Johnson",Frozen Fruits,.. : frozen fruits category : groceries.
41,Groceries,188,Johnson-Holmes,Canned Soup,.. : canned soup category : groceries.
42,Groceries,359,Reynolds Group,Brown Rice,.. : brown rice category : groceries.
43,Groceries,271,"Washington, Richardson and Jordan",Olive Oil,.. : olive oil category : groceries.
